"SET","344827.59"
"GET","454545.47"
"INCR","400000.00"
"LPUSH","400000.00"
"RPUSH","400000.00"
"LPOP","384615.38"
"RPOP","500000.00"
"SADD","416666.66"
"HSET","400000.00"
"SPOP","454545.47"
"LPUSH (needed to benchmark LRANGE)","416666.66"
"LRANGE_100 (first 100 elements)","29069.77"
"LRANGE_300 (first 300 elements)","9208.10"
"LRANGE_500 (first 450 elements)","5249.34"
"LRANGE_600 (first 600 elements)","3786.44"
"MSET (10 keys)","11695.91"
